id,name,state,city,website,x,y,avg_groomer,avg_lift,avg_park,avg_vibe
44,Kewaunee Winter Park,WI,Kewaunee,https://www.visitkewauneecounty.com/explore/parks-and-trails/winter-park-recreation/,44.461,-87.559,,,,
45,Christie Mountain,WI,Bruce,https://www.christiemountain.com/,45.51,-91.381,,,,
46,Camp 10,WI,Rhinelander,http://camp10skiandsnowboard.com/,45.551,-89.5,,,,
47,Bruce Mound,WI,Merrillan,https://clarkcountywi.org/visit-clark-county/outdoors/bruce-mound.php,44.447,-90.785,,,,
48,Ausblick Ski Hill,WI,Sussex,https://ausblick.org/,43.135,-88.264,,,,
49,Hanson Hills,MI,Grayling,https://hansonhills.org/,44.646,-84.754,,,,
50,John & Melissa Besse Sports Park,MI,Gladstone,http://www.gladstonemi.org/services/parks_and_recreation/sports_park.php,45.86,-87.038,,,,
51,Treetops Resort,MI,Gaylord,https://www.treetops.com/,45.033,-84.591,,,,
52,Timber Ridge Ski Area,MI,Gobles,https://www.facebook.com/skitimberridge/about?tab=page_info,42.392,-85.779,,,,
53,Swiss Valley,MI,Jones,http://www.skiswissvalley.com/,41.955,-85.826,,,,
54,Snow Snake Ski & Golf,MI,Harrison,https://snowsnake.net/,43.959,-84.78,,,,
55,Ski Brule,MI,Iron River,https://skibrule.com/,46.03,-88.7,,,,
56,Shanty Creek Resorts,MI,Bellaire,https://www.shantycreek.com/,44.95,-85.186,,,,
57,Porcupine Mountains,MI,Silver City,https://porkies.ski/,46.82,-89.653,,,,
58,Pine Mountain,MI,Iron Mountain,https://www.pinemountainresort.com/,45.84,-88.09,,,,
59,Pine Knob,MI,Clarkston,https://www.skipineknob.com/,42.746,-83.368,,,,
60,Ostego Resort,MI,Gaylord,https://www.otsegoclub.com/,45.027,-84.656,,,,
61,Nub's Nob,MI,Harbor Springs,https://www.nubsnob.com/,45.472,-84.906,,,,
62,Mulligan's Hollow,MI,Grand Haven,https://www.mulliganshollow.com/,43.058,-86.24,,,,
63,Mt. Zion,MI,Ironwood,https://www.gogebic.edu/Welcome/StudentLife/mtzion.html,46.474,-90.162,,,,
64,Mt. Holly,MI,Holly,https://skimtholly.com/,42.831,-83.562,,,,
65,Mt. Holiday,MI,Traverse City,https://mt-holiday.com/,44.742,-85.514,,,,
66,Mt. Brighton,MI,Brighton,https://www.mtbrighton.com/,42.54,-83.813,,,,
67,Mt. Bohemia,MI,Grant Township,https://www.mtbohemia.com/,47.387,-88.02,,,,
68,Mont Ripley,MI,Hancock,https://www.mtu.edu/mont-ripley/,47.127,-88.56,,,,
69,Marquette Mountain,MI,Marquette,https://marquettemountain.com/,46.509,-87.421,,,,
70,Indianhead Mountain,MI,Wakefield,https://www.bigsnow.com/,46.5,-89.971,,,,
71,The Homestead,MI,Glen Arbor,https://www.thehomesteadresort.com/,44.914,-85.966,,,,
72,Hickory Hills,MI,Traverse City,https://www.traversecitymi.gov/hickory_hills.asp,44.768,-85.66,,,,
73,Crystal Mountain,MI,Thompsonville,https://www.crystalmountain.com/,44.52,-85.992,,,,
74,Challenge Mountain,MI,Boyne Falls,https://challengemtn.org/,45.236,-84.878,,,,
75,Cannonsburg Ski Area,MI,Belmont,https://cannonsburg.com/,43.054,-85.501,,,,
76,Caberfae Peaks,MI,Cadillac,https://caberfaepeaks.com/,44.244,-85.721,,,,
77,Boyne Mountain,MI,Boyne Falls,https://www.boynemountain.com/,45.16,-84.918,,,,
78,The Highlands at Harbor Springs,MI,Harbor Springs,https://www.highlandsharborsprings.com/,45.464,-84.926,,,,
79,Blackjack Ski Resort,MI,Bessemer,https://www.bigsnow.com/,46.505,-89.997,,,,
80,Bittersweet Ski Resort,MI,Ostego,https://www.skibittersweet.com/,42.468,-85.759,,,,
81,Big Powderhorn,MI,Bessemer,https://bigpowderhorn.net/,46.502,-90.097,,,,
82,Apple Mountain,MI,Freeland,https://www.applemountain.com/,43.471,-84.106,,,,
83,Alpine Valley Michigan,MI,White Lake,https://skialpinevalley.com/,42.653,-83.523,,,,
84,Sundown Mountain,IA,Dubuque,https://www.sundownmtn.com/,42.516,-90.181,,,,
85,Seven Oaks,IA,Boone,https://sevenoaksrec.com/,42.033,-93.953,,,,
86,Mt. Crescent,IA,Honey Creek,https://skicrescent.com/,41.395,-95.86,,,,
87,Chestnut Mountain,IL,Galena,https://www.chestnutmtn.com/,42.319,-90.393,,,,
88,Villa Olivia,IL,Bartlett,https://bartlettparks.org/villa-olivia/,42.014,-88.219,,,,
89,Four Lakes Alpine Snowsports,IL,Lisle,https://www.fourlakessnowsports.com/,41.782,-88.083,,,,
90,Snowstar,IL,Andaluisa,https://skisnowstar.com/,41.425,-90.745,,,,
91,Snow Creek,MO,Weston,https://www.skisnowcreek.com/,39.467,-94.971,,,,
92,Hidden Valley,MO,Eureka,https://www.hiddenvalleyski.com/,38.535,-90.65,,,,
93,Perfect North Slopes,IN,Lawrenceburg,https://www.perfectnorth.com/,39.147,-84.885,,,,
94,Paoli Peaks,IN,Paoli,https://www.paolipeaks.com/,38.555,-86.512,,,,
95,Big Creek Ski Area,OH,Chardon,https://www.clevelandskiclub.com/,41.645,-81.183,,,,
96,Snow Trails Ski Resort,OH,Mansfield,https://www.snowtrails.com/,40.674,-82.5,,,,
97,Mad River Mountain,OH,Zanesfield,https://www.skimadriver.com/,40.318,-83.678,,,,
98,Boston Mills Brandywine,OH,Peninsula,https://www.bmbw.com/,41.266,-81.563,,,,
99,Alpine Valley Ohio,OH,Chesterland,https://www.alpinevalleyohio.com/,41.527,-81.259,,,,
100,Tyrol Basin,WI,Mount Horeb,https://tyrolbasin.com/,43.044,-89.784,,,,
